,lat,lng,address
188395,40.76227205,-73.98788205,10019
188417,40.74198159994023,-74.00831580162048,10019
188418,40.75038009,-73.98338988,10018
188419,40.72583996792375,-74.0076532959938,10013
188664,40.781410700190015,-73.95595908164978,10128
191042,40.73191132323174,-74.008769094944,10014
194773,40.772828,-73.966853,10075-0381
196951,40.75022392,-73.97121414,10017
198212,40.763189,-73.978434,10019
205223,40.849972,-73.938423,10033
205500,40.6902375,-73.99203074,11231
207515,40.73291553,-74.00711384,10014
209036,40.754691750226016,-73.99740189313889,10001
211063,40.717548,-74.013221,10282
213744,40.711066,-74.009447,10038
214763,40.71485150526252,-74.01122331619263,10007
215878,40.73115,-74.00887,10014
218937,40.711444,-74.014847,10281
219064,40.762009,-73.996975,10018
219508,40.846221,-73.909232,10453
231743,40.85168,-73.94186,10033
255726,40.835775,-73.9434,10032
265800,40.83299,-73.94592,10032
282843,40.73652889,-74.00618026,10014
283916,40.768333,-73.992573,10019
287987,40.71473993,-74.00910627,10007
289108,40.728846,-74.008591,10014
296803,40.7361967,-74.00859207,10014
298734,40.74334935,-74.00681753,10011
308737,40.76727216,-73.99392888,10019
310127,40.70934,-73.95608,11211
313063,40.77149671054441,-73.99046033620834,100
315693,40.71269042,-73.98776323,10002
316586,40.72615604980408,-73.99510189890862,10012
316982,40.78414472,-73.98362492,10024
320696,40.71911552,-74.00666661,10005
320910,40.76228826,-73.98336183,10019
327801,40.77282817,-73.96685276,10075-0381
329511,40.75019995,-73.99093085,10119
329512,40.7606597,-73.98042047,10111
330310,40.839278,-73.945446,10032
330845,40.71870987,-74.0090009,10013
334131,40.852252,-73.937854,10033
334474,40.78057799010334,-73.98562431335449,10069
337338,40.6809741,-73.9710097,11238
341026,40.73726186,-73.99238967,10003
346072,40.73401143,-74.00293877,10014
346258,40.709651,-74.068601,07304
348883,40.69102925677968,-73.99183362722397,11217
351265,40.711471394469264,-73.98672603070736,10002
351357,40.649292,-74.020105,11232
365800,40.741982,-74.008316,10019
391490,40.73038599,-74.00214988,10014
423449,40.72405549,-74.00965965,10005
423456,40.738046142482766,-73.99642959237099,10011-6832
423468,40.716444,-73.982331,10002
425188,40.73935542,-73.99931783,10011
447310,40.72866,-74.01198,10014-3621
447505,40.751873,-73.977706,10037
453554,40.716887,-73.963198,11211
459302,40.7262807,-73.98978041,10009
461164,40.752049,-73.979635,10017
463854,40.74173969,-73.99415556,10011
470289,40.73047747,-73.99906065,10012-3332
476126,40.73172428,-74.00674436,10014
482269,40.71625008,-74.0091059,10014
484658,40.74487634,-73.99529885,10011
501399,40.75510267,-73.97498696,10037
505266,40.70960089363537,-74.00655090808868,10279
505279,40.7149787,-74.013012,10282
508279,40.76017739537783,-73.98486793041229,10019
509626,40.75724567911726,-73.97805914282799,10017
513494,40.74238787,-73.99726235,10011
513800,40.732916,-74.007114,10014
515372,40.752694,-74.002353,10199
528038,40.70469667894968,-74.00803416967392,10005
530768,40.7462009,-73.98855723,10019
536956,40.72299208,-73.97995466,10009
542478,40.72511734422387,-73.99930492043495,10012
543309,40.7451677,-73.98683077,10035
543394,40.74345335,-74.00004031,10011
548995,40.72494672359416,-74.00165855884552,10012
552533,40.72229346,-73.99147535,10012-3332
552540,40.756913,-73.921631,11101
553243,40.756951,-73.982631,10019
556490,40.711471,-73.986726,10002
557882,40.718822,-73.99596,10013
562828,40.84522,-73.940493,10032
564959,40.73587678,-73.98205027,10010
572259,40.72019576,-73.98997825,10002
586018,40.72431,-74.00473,10014-3621
588663,40.72953837,-73.98426726,10009
599307,40.70336686695866,-74.007867872715,10005
601660,40.742684734875695,-73.98671329021454,10010
614065,40.7734066,-73.97782542,10023-5104
631676,40.75793646243674,-73.97960275411606,10036
633747,40.70293782409166,-74.01149354875088,10004
634465,40.676368,-73.952918,11216
649031,40.75898481399634,-73.99379968643188,10036
649093,40.71644423134479,-73.9823305606842,10002
649106,40.73595384347961,-74.02917802333832,07030
649107,40.76370739,-73.9851615,10019
649166,40.69239502,-73.99337909,11231
649167,40.72243797,-74.00566443,10005
649200,40.75461,-73.99177,10018
649558,40.743174,-74.003664,10019
650420,40.735445,-73.99431,10011
650521,40.76341379,-73.99667444,10036
656299,40.827883,-73.927111,10451:10455
670500,40.71494807,-74.00234482,10278
671937,40.702831,-73.9333,11206
683864,40.74317449,-74.00366443,10019
684195,40.736047332746274,-74.02912437915802,07030-5774
693414,40.75513557,-73.98658032,10036
693429,40.755136,-73.98658,10036
697287,40.724308321602166,-74.00473035871983,10014-3621
698587,40.824956,-73.891677,10472
712778,40.7197920901383,-74.0052238852195,10013
714140,40.75227093837409,-73.98770570755005,10018
723276,40.8013434,-73.9711457439,10025
724586,40.86156,-73.91219,10468
736040,40.705945132708806,-74.01321887969969,10006
741191,40.70463334,-74.01361706,10275
